16,01,21,0.7
16,01,22,0.69
16,01,25,0.69
16,01,26,0.66
16,01,27,0.66
16,01,28,0.67
16,01,29,0.66
16,02,01,0.65
16,02,02,0.66
16,02,03,0.68
16,02,04,0.68
16,02,05,0.69
16,02,08,0.71
16,02,09,0.71
16,02,10,0.72
16,02,11,0.72
16,02,12,0.71
16,02,16,0.68
16,02,17,0.7
16,02,18,0.7
16,02,19,0.7
16,02,22,0.68
16,02,23,0.68
16,02,24,0.66
16,02,25,0.67
16,02,26,0.67
16,02,29,0.67
16,03,01,0.65
16,03,02,0.66
16,03,03,0.65
16,03,04,0.66
16,03,07,0.66
16,03,08,0.67
16,03,09,0.65
16,03,10,0.64
16,03,11,0.63
16,03,14,0.63
16,03,15,0.63
16,03,16,0.63
16,03,17,0.63
16,03,18,0.64
16,03,21,0.63
16,03,22,0.63
16,03,23,0.62
16,03,24,0.62
16,03,28,0.62
16,03,29,0.61
16,03,30,0.61
16,03,31,0.62
16,04,01,0.62
16,04,04,0.63
16,04,05,0.62
16,04,06,0.63
16,04,07,0.64
16,04,08,0.64
16,04,11,0.65
16,04,12,0.64
16,04,13,0.62
16,04,14,0.62
16,04,15,0.62
16,04,18,0.62
16,04,19,0.62
16,04,20,0.63
16,04,21,0.64
16,04,22,0.63
16,04,25,0.64
16,04,26,0.63
16,04,27,0.63
16,04,28,0.64
16,04,29,0.64
16,05,02,0.64
16,05,03,0.64
16,05,04,0.64
16,05,05,0.67
16,05,06,0.66
16,05,09,0.66
16,05,10,0.66
16,05,11,0.68
16,05,12,0.67
16,05,13,0.69
16,05,16,0.68
16,05,17,0.69
16,05,18,0.7
16,05,19,0.7
16,05,20,0.68
16,05,23,0.69
16,05,24,0.67
16,05,25,0.65
16,05,26,0.64
16,05,27,0.64
16,05,31,0.65
16,06,01,0.65
16,06,02,0.66
16,06,03,0.66
16,06,06,0.67
16,06,07,0.66
16,06,08,0.65
16,06,09,0.64
16,06,10,0.65
16,06,13,0.66
16,06,14,0.66
16,06,15,0.65
16,06,16,0.65
16,06,17,0.65
16,06,20,0.64
16,06,21,0.65
16,06,22,0.65
16,06,23,0.65
16,06,24,0.65
16,06,27,0.65
16,06,28,0.64
16,06,29,0.62
16,06,30,0.62
16,07,01,0.61
16,07,05,0.62
16,07,06,0.62
16,07,07,0.62
16,07,08,0.61
16,07,11,0.61
16,07,12,0.61
16,07,13,0.61
16,07,14,0.61
16,07,15,0.61
16,07,18,0.61
16,07,19,0.61
16,07,20,0.61
16,07,21,0.61
16,07,22,0.6
16,07,25,0.6
16,07,26,0.6
16,07,27,0.61
16,07,28,0.59
16,07,29,0.59
16,08,01,0.59
16,08,02,0.6
16,08,03,0.59
16,08,04,0.59
16,08,05,0.59
16,08,08,0.59
16,08,09,0.6
16,08,10,0.6
16,08,11,0.6
16,08,12,0.6
16,08,15,0.6
16,08,16,0.62
16,08,17,0.63
16,08,18,0.64
16,08,19,0.63
16,08,22,0.63
16,08,23,0.63
16,08,24,0.62
16,08,25,0.62
16,08,26,0.64
16,08,29,0.63
16,08,30,0.64
16,08,31,0.64
16,09,01,0.63
16,09,02,0.63
16,09,06,0.62
16,09,07,0.62
16,09,08,0.63
16,09,09,0.65
16,09,12,0.65
16,09,13,0.66
16,09,14,0.66
16,09,15,0.67
16,09,16,0.68
16,09,19,0.67
16,09,20,0.69
16,09,21,0.68
16,09,22,0.67
16,09,23,0.67
16,09,26,0.67
16,09,27,0.66
16,09,28,0.67
16,09,29,0.68
16,09,30,0.67
16,10,03,0.68
16,10,04,0.68
16,10,05,0.67
16,10,06,0.67
16,10,07,0.68
16,10,10,0.68
16,10,11,0.68
16,10,12,0.68
16,10,13,0.68
16,10,14,0.68
16,10,17,0.7
16,10,18,0.7
16,10,19,0.7
16,10,20,0.71
16,10,21,0.7
16,10,24,0.71
16,10,25,0.7
16,10,26,0.69
16,10,27,0.72
16,10,28,0.71
16,10,31,0.71
16,11,01,0.72
16,11,02,0.72
16,11,03,0.72
16,11,04,0.73
16,11,07,0.73
16,11,08,0.73
16,11,09,0.71
16,11,10,0.69
16,11,11,0.69
16,11,14,0.7
16,11,15,0.61
16,11,16,0.61
16,11,17,0.6
16,11,18,0.62
16,11,21,0.6
16,11,22,0.59
16,11,23,0.58
16,11,25,0.59
16,11,28,0.59
16,11,29,0.59
16,11,30,0.59
16,12,01,0.59
16,12,02,0.59
16,12,05,0.59
16,12,06,0.58
16,12,07,0.57
16,12,08,0.57
16,12,09,0.57
16,12,12,0.58
16,12,13,0.58
16,12,14,0.58
16,12,15,0.58
16,12,16,0.58
16,12,19,0.58
16,12,20,0.57
16,12,21,0.58
16,12,22,0.59
16,12,23,0.59
16,12,27,0.58
16,12,28,0.59
16,12,29,0.59
16,12,30,0.59
17,01,03,0.59
17,01,04,0.58
17,01,05,0.58
17,01,06,0.59
17,01,09,0.59
17,01,10,0.59
17,01,11,0.58
17,01,12,0.57
17,01,13,0.57
